F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,Y
0.6520942796806144,2.156160936708645,-0.5381544123554259,0.7494028119974067,0.07497840242177897,1.5910667244908792,4.646320917106624,2.656688011098004,0.6316691513698862,0.12347516825535479,0.3493724106135636,0.6100842027455393,5.521413018552277,5.955110532613315,3.003888393312778,9.78411871381288,0.33902622440855457,0.3272885697250171,0.3744244263828966,0.46516347102896344,B,B,A,A,F,G,G,D,B,A,A,A,A,D,D,F,A,J,D,A,30.842287971562968
-1.0225260290724318,1.244018302532798,0.5782692869519083,0.6693004603696728,1.143647699765925,1.2650443589617386,0.5371945868220859,1.3421125154541433,0.7281447501989725,1.0133677951970848,2.432354849994643,0.5823876333138285,5.022960320611661,0.38643427909201167,8.09451361667451,7.498256127588299,0.632002609803728,1.4274274668310138,0.9458784455939322,1.3896558640567778,B,B,A,A,F,E,G,G,A,A,A,B,A,D,E,E,A,B,B,J,25.82564157769309
0.4619395793250241,-0.02413550117198473,-0.030821122868516636,0.5031251717412182,0.06988198910851764,0.4139391364866972,0.009341068330587343,0.4697391383704237,0.35574790409737816,2.8044881682833114,0.9536357246335276,1.44450240379043,0.43195616905612355,9.844860493789618,5.889606481419085,9.722832502650189,0.9977973481579565,0.8046238207809802,0.2723646325041904,1.0009737763236517,A,A,A,B,G,E,F,F,E,B,A,A,E,A,F,D,A,B,I,A,36.09196036136227
2.0323094187594264,-1.2323499478566478,-0.05883119294400937,0.09763805547365306,0.23688332935350448,0.14024488645592173,0.07943194862633883,0.0024719773550112346,1.4299872376638896,2.256971522378843,0.5461452556550087,3.7709811681283485,7.834822394792406,8.439355016095028,5.6094828684900016,9.9281789808371,0.9027633920786314,1.4720926168154103,0.1121671550056442,0.24499109109642198,B,B,B,A,D,I,F,E,A,A,B,A,E,D,D,C,A,A,A,A,49.10535150991123
-1.1283916946072565,0.42086431337098346,1.3816252910234168,-0.6045919789826756,0.12092827572113668,0.5320491672009389,0.9362787776000563,0.5874543268510511,0.32067714673180214,0.3040853388892704,1.0527910405782164,0.3013344167554767,9.113479146497864,2.8415823552498,5.7516851536011995,4.808302362332533,0.748969637268709,1.0407482711136646,0.7375813574276133,2.100932256015264,A,A,B,A,F,E,G,E,B,A,F,A,E,D,E,B,A,B,J,B,42.28671772306555
-1.7840853667135819,0.45620493898162995,-2.1029733822700205,-2.1388275194764903,0.801083715827598,0.7683688141899223,1.2507289327427964,1.4425753460035526,0.07040273797943276,1.201658656221973,0.7982668033039946,0.8826268426717411,0.96517300795946,2.349203051186537,6.09748687289718,6.010103013333342,1.1036170248147543,1.1628733826543802,0.9977572512439696,0.9405135958649359,A,B,A,B,D,E,E,G,A,A,A,C,C,F,F,B,A,I,J,B,8.74375800996279
0.875834587250046,-0.9581194014234854,0.7689657222987439,1.0482098218476459,0.2948217866408717,1.6113793177274105,0.39373864269170117,0.8113028928368535,0.398688683154487,0.9751168394351136,0.2235165630947973,0.6945202923882831,3.0605315824688164,6.180926912934339,2.249419307917293,1.4812842663072578,1.0724028738230487,1.075404143297768,1.80485842004834,0.6546567585368522,B,A,A,A,J,H,F,G,A,C,B,A,C,C,E,D,A,A,A,J,19.97860422587147
0.17256386148884717,1.0158817094249697,1.3848819415164195,-1.6641917422656807,1.0783079343492266,0.4459592890278924,1.7088261912358693,0.30416084088930123,1.7992791603320173,1.1253440652278976,1.0537338113460115,0.2817255420591378,8.920300624245407,6.917387623387439,8.71165529124035,5.880471124132848,0.1259433358340458,0.2849638987543043,0.8494711597550453,0.6953080096060912,A,B,A,A,E,E,H,C,A,A,A,A,F,C,C,C,A,A,A,I,50.93483854351075
-0.8938844042427567,-0.9449596201321693,0.2059737658093861,0.442490392696504,1.4364476257237275,1.579483673029897,0.644482132301673,3.7464232752766717,0.6127705270035646,0.25434827363206414,4.166747316939031,0.6050913434105982,1.5294809204255522,2.1438555670692097,3.607918820959737,3.0779969067646515,0.6648263180330204,0.11631809076192377,1.2885319869624414,0.4498394348098652,B,B,B,B,G,F,E,D,B,B,A,A,F,F,E,E,J,A,A,C,36.83899535009259
0.42993380409546833,-0.9920517583575826,0.5686703742324231,0.24439589533356057,0.4310929973431501,0.4795234057595617,0.4741015812019422,0.22760829682253036,0.07913707469953615,2.0785011427128937,0.1355777034162804,1.6053359187658327,8.386801553423279,8.400027842776515,4.841085840434728,7.80527201516266,1.2147978537328064,0.2350951636089062,0.983720685385367,0.9459064719178689,B,A,B,B,D,E,F,I,B,A,H,B,D,E,E,D,B,I,B,J,44.83168685527305
